sampleid	sample_type	status	mouse
Col_C1	colon	SPF	1SPF
Sp_GF3	spleen	GF	3GF
SI_C1	small intestine	SPF	1SPF
Col_GF1	colon	GF	1GF
He_C1	heart	SPF	1SPF
He_GF2	heart	GF	2GF
SI_GF3	small intestine	GF	3GF
SI_GF1	small intestine	GF	1GF
Sp_C1	spleen	SPF	1SPF
Col_C3	colon	SPF	3SPF
SI_C3	small intestine	SPF	3SPF
He_C2	heart	SPF	2SPF
Col_GF2	colon	GF	2GF
Sp_GF2	spleen	GF	2GF
He_GF1	heart	GF	1GF
He_GF3	heart	GF	3GF
Sp_C2	spleen	SPF	2SPF
SI_C2	small intestine	SPF	2SPF
Sp_GF1	spleen	GF	1GF
Col_GF3	colon	GF	3GF
Sp_C3	spleen	SPF	3SPF
He_C3	heart	SPF	3SPF
Col_C2	colon	SPF	2SPF
SI_GF2	small intestine	GF	2GF
